"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 30 15:01:36 IST 2023","Sun Jul 30 15:01:36 IST 2023","36","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","databaseTesting","databaseTesting",""
"broken","Sun Jul 30 14:58:05 IST 2023","Sun Jul 30 14:58:05 IST 2023","10","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","extractDataExcleAndObjectOfClassCreations","extractDataExcleAndObjectOfClassCreations",""
"broken","Sun Jul 30 15:01:36 IST 2023","Sun Jul 30 15:01:36 IST 2023","2","Suite","Test","Test.Person.DatabaseTestCases","Test.Person.DatabaseTestCases","tearDown","tearDown",""
